"id","name","brand","category","subcategory","description","specs","image","keywords"
"","GTF Coreless Can Liners 25x32 Black","GTF","janitorial","Waste & Liners","Coreless can liners sized for standard office and facility trash cans.","Item #: 941014; Size: 25in x 32in; Color: Black; Thickness: 12 mic; Pack: 20 rolls x 25 pcs","gtf-coreless-can-liners-25x32-941014.jpg","can liner, trash bag, coreless, 941014"
"","Niagara Medium Duty Scouring Pad","Niagara","janitorial","Cleaning Chemicals","Medium-duty scouring pads for everyday scrubbing and cleanup tasks.","Item #: 70-0070-0081-6; Size: 6in x 9in (152mm x 228mm); Pack: 20 pads/box","niagara-scouring-pad-and-california-scents.jpg","scouring pad, scrub pad, niagara, scrubber"
"","Ru Ge Invoice Roll (POS Register Paper)","Ru Ge","office-supplies","Facility Consumables","Cash register / invoice paper rolls for POS systems, ATMs, and office equipment.","Type: Invoice / Register Paper Roll; Certification: ISO 9001, ISO 14001","ruge-invoice-roll-register-paper.jpg","register paper, receipt roll, pos paper, invoice roll, cash register tape"
"","POS Thermal Register Paper Roll","","office-supplies","Facility Consumables","Thermal receipt paper rolls sized for standard POS terminals.","Width: 80mm; Type: Thermal Paper","pos-thermal-register-paper-roll.jpg","thermal paper, receipt roll, pos roll, 80mm"
"","Double A Copy Paper (20lb)","Double A","office-supplies","Facility Consumables","Everyday multipurpose copy paper for office printers and copiers.","Weight: 20lb; Type: Everyday Copy Paper","double-a-copy-paper.jpg","copy paper, printer paper, double a, office paper"
"","California Scents Car Scents Air Freshener","California Scents","office-supplies","Air Care & Odor Control","Long-lasting gel air fresheners for offices, vehicles, and shared spaces.","Type: Car Scents Air Freshener; Feature: 8X More Fragrance","niagara-scouring-pad-and-california-scents.jpg","air freshener, odor control, california scents, gel freshener"
"","My Pleasure Pink Lotion Hand Soap","My Pleasure","office-supplies","Hand Hygiene","Pink lotion hand soap for washroom and break room dispensers.","Type: Lotion Hand Soap; Container: 1 gallon","johnsens-dot3-brake-fluid-closeup.jpg","hand soap, lotion soap, pink soap, hand hygiene"
"","Mobil Super Friction Fighter 5W-30","Mobil","lubricants-coolants","Oils & Greases","Synthetic technology engine oil for petrol and diesel engines.","Viscosity: 5W-30; Pack: 12 x 1L; Type: Synthetic Technology Engine Oil","mobil-super-friction-fighter-5w30-case.jpg","mobil super, friction fighter, engine oil, 5w30, motor oil"
"","Mobil Super Friction Fighter 10W-30","Mobil","lubricants-coolants","Oils & Greases","Synthetic technology engine oil for petrol and diesel engines.","Viscosity: 10W-30; Pack: 12 x 1L; API: SQ; ILSAC: GF-7A","mobil-super-friction-fighter-10w30-case.jpg","mobil super, friction fighter, engine oil, 10w30, motor oil"
"","Mobil Super Friction Fighter 15W-40","Mobil","lubricants-coolants","Oils & Greases","Synthetic technology engine oil suitable for petrol and diesel engines.","Viscosity: 15W-40; Container: 1L; API: SN Plus; ACEA: A3/B3-16","mobil-super-friction-fighter-15w40.jpg","mobil super, friction fighter, engine oil, 15w40"
"","Mobil Super Friction Fighter 5W-20","Mobil","lubricants-coolants","Oils & Greases","Synthetic technology engine oil for petrol engines.","Viscosity: 5W-20; Container: 1L; API: SQ; ILSAC: GF-7A","mobil-super-friction-fighter-5w20.jpg","mobil super, friction fighter, engine oil, 5w20"
"","Mobil 1 Triple Action Power+ 0W-20","Mobil","lubricants-coolants","Oils & Greases","Ultimate full synthetic engine oil for petrol, diesel, and hybrid engines.","Viscosity: 0W-20; Container: 1L; API: SP; ACEA: C5; ILSAC: GF-6A","mobil-1-triple-action-power-plus-0w20.jpg","mobil 1, triple action power, engine oil, 0w20, full synthetic"
"","Mobil 1 Triple Action Power 5W-30","Mobil","lubricants-coolants","Oils & Greases","Advanced full synthetic engine oil for petrol, diesel, and hybrid engines.","Viscosity: 5W-30; Container: 1L; API: SP; ACEA: C2, A5/B5; ILSAC: GF-6A","mobil-1-triple-action-power-lineup.jpg","mobil 1, triple action power, engine oil, 5w30, full synthetic"
"","Johnsen's 2 Cycle Engine Oil","Johnsen's","lubricants-coolants","Oils & Greases","Universal multi-purpose 2 cycle engine oil for air cooled engines.","Container: 8 FL OZ (237 mL); Type: 2 Cycle Engine Oil","johnsens-2cycle-oil-and-dot3-brake-fluid.jpg","2 cycle oil, two stroke oil, johnsens, small engine oil"
"","GreaseCo Heavy Duty Grease Cartridges","GreaseCo","lubricants-coolants","Oils & Greases","Heavy duty grease cartridges rated for high temperature and extreme pressure use.","Pack: 10 x 14 oz (396.89 g) cartridges; Rating: High Temperature, Extreme Pressure, Water Resistant","greaseco-heavy-duty-grease-cartridges.jpg","grease cartridge, heavy duty grease, greaseco"
"","HeavyDuty Lithium Complex Grease","HeavyDuty","lubricants-coolants","Oils & Greases","Lithium complex grease formulated for agriculture, automotive, construction, and mining equipment.","Type: Lithium Complex Grease; NLGI Grade: 2; Viscosity: ISO 460","heavyduty-lithium-complex-grease-and-3m-n95.jpg","lithium grease, lithium complex, heavy duty grease, cartridge grease"
"","Shell Rimula R4X 15W-40 (Bulk Drum)","Shell","lubricants-coolants","Oils & Greases","Bulk heavy-duty diesel engine oil for fleets and industrial equipment.","Viscosity: 15W-40; Product Code: 550044360; Container: 55-gallon drum","shell-rimula-r4x-15w40-drum.jpg","shell rimula, diesel engine oil, bulk drum, 15w40"
"","Mobil Delvac Modern 15W-40 Super Defense (Drum)","Mobil","lubricants-coolants","Oils & Greases","Synthetic technology commercial vehicle engine oil in bulk drum quantity.","Viscosity: 15W-40; API: CI-4; Container: 208L drum","mobil-delvac-modern-15w40-drums.jpg","mobil delvac, diesel engine oil, bulk drum, 15w40, commercial vehicle oil"
"","Mobil Delvac Modern 15W-40 Super Defense (Pail)","Mobil","lubricants-coolants","Oils & Greases","Synthetic technology commercial vehicle engine oil in 20L pail quantity.","Viscosity: 15W-40; API: CI-4; Container: 20L pail","mobil-delvac-modern-15w40-pails.jpg","mobil delvac, diesel engine oil, pail, 15w40"
"","Mobil DTE 26 Ultra Hydraulic Oil","Mobil","lubricants-coolants","Hydraulic Fluids","Next generation anti-wear hydraulic oil for heavy-duty hydraulic systems.","Container: 20L pail; Feature: 2X Life, Better Protection","mobil-dte-26-ultra-hydraulic-oil-pail.jpg","hydraulic oil, mobil dte, dte 26 ultra, anti-wear oil"
"","Johnsen's Sintetico DOT-3 Brake Fluid","Johnsen's","lubricants-coolants","Hydraulic Fluids","DOT-3 synthetic brake fluid for drum and disc brakes.","Rating: DOT-3; Protection: 450F; Container: 12 FL OZ (355 mL)","johnsens-dot3-brake-fluid-closeup.jpg","brake fluid, dot 3, johnsens, hydraulic brake fluid"
"","World Oil Heavy Duty Extended Life Antifreeze","World Oil","lubricants-coolants","Coolants & Antifreeze","Prediluted heavy-duty extended life antifreeze/coolant for on-road and off-road diesel engines.","Type: Prediluted Antifreeze, Extended Life -N; Container: 55 gal (209L) drum; Product Code: DK612P","world-oil-antifreeze-drum.jpg","antifreeze, coolant, world oil, prediluted coolant, extended life"
"","UltraGreen DEF (Diesel Exhaust Fluid)","UltraGreen","lubricants-coolants","Additives & Specialty Fluids","Diesel exhaust fluid for SCR-equipped diesel engines.","Type: Diesel Exhaust Fluid (DEF); Pack: 10L x 2; Standard: ISO 22241-1","ultragreen-def-diesel-exhaust-fluid.jpg","def, diesel exhaust fluid, adblue, ultragreen"
"","3M Particulate Respirator N95 (8210)","3M","safety","Respiratory Protection","N95 particulate respirators for dust, sanding, and general particulate protection.","Model: 8210; Rating: N95; Pack: 20 respirators/box; Certification: NIOSH","3m-n95-8210-respirator-box.jpg","n95, respirator, 3m, particulate mask, 8210"
"","Hi-Vis Safety Vests & Shirts","","safety","Hi-Vis Apparel","High-visibility vests and shirts for job-site and roadway visibility.","Type: High-Visibility Vest/Shirt","hivis-safety-vests-shirts.jpg","hi-vis, safety vest, high visibility, reflective apparel"
"","Assorted Work Gloves","","safety","Work Gloves","A range of work gloves including impact-resistant, nitrile-coated, and disposable nitrile styles.","Types: Impact Gloves, Nitrile-Coated Knit, Disposable Nitrile","assorted-work-gloves.jpg","work gloves, nitrile gloves, impact gloves, disposable gloves"
"","Solar-Powered LED Flood Light","","site-equipment","Signage & Barriers","Solar-powered LED flood light for job-site security and after-hours visibility.","Power: Solar-Powered; Type: LED Flood Light","solar-led-flood-light.jpg","solar light, led flood light, security lighting, job site lighting"
